ca_id,market,resource_class,model_year,make,model,vehicle_class,engine_size_l,cylinders,transmission,fuel_type,motor_kw,source_file
bdcbf3ecb3161255,CA,phev,2012,Chevrolet,Volt,Compact,1.4,4,AV,B|Z,111,my2012-2026-plug-in-hybrid-electric-vehicles.csv
c406665420545dd3,CA,bev,2012,Mitsubishi,i-MiEV,Subcompact,,,A1,B,49,my2012-2026-battery-electric-vehicles.csv
78e89eb676d709c0,CA,bev,2012,Nissan,LEAF,Mid-size,,,A1,B,80,my2012-2026-battery-electric-vehicles.csv
57c235ecec7610ca,CA,phev,2013,Chevrolet,Volt,Compact,1.4,4,AV,B|Z,111,my2012-2026-plug-in-hybrid-electric-vehicles.csv
0679f3d1644ef55b,CA,phev,2013,Ford,C-MAX Energi,Mid-size,2.0,4,AV,B/X|X,35,my2012-2026-plug-in-hybrid-electric-vehicles.csv
6f011ab1fa3352fd,CA,bev,2013,Ford,Focus Electric,Compact,,,A1,B,107,my2012-2026-battery-electric-vehicles.csv
ff62928d1707b976,CA,phev,2013,Ford,Fusion Energi,Mid-size,2.0,4,AV,B/X|X,35,my2012-2026-plug-in-hybrid-electric-vehicles.csv
4afab27bae27f9ff,CA,bev,2013,Mitsubishi,i-MiEV,Subcompact,,,A1,B,49,my2012-2026-battery-electric-vehicles.csv
c7daceb84eb7d300,CA,bev,2013,Nissan,LEAF,Mid-size,,,A1,B,80,my2012-2026-battery-electric-vehicles.csv
8dab8fc2ad135ab5,CA,bev,2013,Tesla,Model S (40 kWh),Full-size,,,A1,B,225,my2012-2026-battery-electric-vehicles.csv
55a410f11397ff06,CA,bev,2013,Tesla,Model S (60 kWh),Full-size,,,A1,B,225,my2012-2026-battery-electric-vehicles.csv
4eb27014356fce40,CA,bev,2013,Tesla,Model S (85 kWh),Full-size,,,A1,B,270,my2012-2026-battery-electric-vehicles.csv
701380c7ae566ebf,CA,bev,2013,Tesla,Model S Performance,Full-size,,,A1,B,310,my2012-2026-battery-electric-vehicles.csv
33aa7c1007c30e5b,CA,phev,2013,Toyota,Prius Plug-in Hybrid,Mid-size,1.8,4,AV,B/X|X,60,my2012-2026-plug-in-hybrid-electric-vehicles.csv
db84867912c012ef,CA,bev,2013,smart,fortwo electric drive cabriolet,Two-seater,,,A1,B,35,my2012-2026-battery-electric-vehicles.csv
636f52e8cdf9c350,CA,bev,2013,smart,fortwo electric drive coupe,Two-seater,,,A1,B,35,my2012-2026-battery-electric-vehicles.csv
b58c57e6a0f25619,CA,phev,2014,Cadillac,ELR,Compact,1.4,4,AV,B|Z,117,my2012-2026-plug-in-hybrid-electric-vehicles.csv
56428ca34ac759fc,CA,bev,2014,Chevrolet,Spark EV,Subcompact,,,A1,B,104,my2012-2026-battery-electric-vehicles.csv
fd4e4e76bd1e6055,CA,phev,2014,Chevrolet,Volt,Compact,1.4,4,AV,B|Z,111,my2012-2026-plug-in-hybrid-electric-vehicles.csv
259ca9009e7db12b,CA,phev,2014,Ford,C-MAX Energi,Mid-size,2.0,4,AV,B/X|X,35,my2012-2026-plug-in-hybrid-electric-vehicles.csv
1589f923c851ca79,CA,bev,2014,Ford,Focus Electric,Compact,,,A1,B,107,my2012-2026-battery-electric-vehicles.csv
f31e07f3a2e649b2,CA,phev,2014,Ford,Fusion Energi,Mid-size,2.0,4,AV,B/X|X,35,my2012-2026-plug-in-hybrid-electric-vehicles.csv
d61bf66502ecdf23,CA,bev,2014,Mitsubishi,i-MiEV,Subcompact,,,A1,B,49,my2012-2026-battery-electric-vehicles.csv
d4e4e48e2ea538de,CA,bev,2014,Nissan,LEAF,Mid-size,,,A1,B,80,my2012-2026-battery-electric-vehicles.csv
4e9a22721510d1e4,CA,phev,2014,Porsche,Panamera S E-Hybrid,Full-size,3.0,6,A8,B/Z|Z,71,my2012-2026-plug-in-hybrid-electric-vehicles.csv
