tw_id,market,origin,vehicle_class,powertrain,issue_year_ce,issue_date,make,model,transmission,doors,displacement_cc,reference_mass_kg,applicant,source_file
77757ba35a8a39ba,TW,import,passenger,ice,2017,2017-02-21,ABARTH,595,A5,3D,1368.0,1209.0,新北市公會,進口小客車車型耗能證明106年2月核發資料.csv
0dbf138532ae0b7d,TW,import,passenger,ice,2017,2017-01-12,ASTON MARTIN,DB11,A8,2D,5204,1993,永三汽車,進口小客車車型耗能證明106年1月核發資料.csv
9fd7793d64878539,TW,import,passenger,ice,2017,2017-12-14,ASTON MARTIN,DB11 V12,A8,2D,5204.0,2020.0,永三汽車,進口小客車車型耗能證明106年12月核發資料.csv
da503164ad35a61d,TW,import,passenger,ice,2017,2017-12-07,ASTON MARTIN,DB11 V8,A8,2D,3982.0,1846.0,永三汽車,進口小客車車型耗能證明106年12月核發資料.csv
4608838d4173eeb6,TW,import,passenger,ice,2017,2017-11-08,ASTON MARTIN,RAPIDE S (421.3kW),A8,5D,5935.0,2113.0,永三汽車,進口小客車車型耗能證明106年11月核發資料.csv
12623aa95c402282,TW,import,passenger,ice,2017,2017-04-11,ASTON MARTIN,V12 VANTAGE S ROADSTER,A7,2D,5935.0,1864.0,永三汽車,進口小客車車型耗能證明106年4月核發資料.csv
9895199d732b2b0d,TW,import,passenger,ice,2017,2017-06-07,ASTON MARTIN,V12 VANTAGE S SPORT-PLUS,M7,2D,5935.0,1790.0,永三汽車,進口小客車車型耗能證明106年6月核發資料.csv
a3e8ca7711a554b4,TW,import,passenger,ice,2017,2017-03-31,ASTON MARTIN,V8 VANTAGE S,A7,2D,4735.0,1732.0,永三汽車,進口小客車車型耗能證明106年3月核發資料.csv
22b512fa60926f79,TW,import,passenger,ice,2017,2017-03-27,ASTON MARTIN,V8 VANTAGE S ROADSTER,A7,2D,4735.0,1815.0,永三汽車,進口小客車車型耗能證明106年3月核發資料.csv
cb37caa5b7c26571,TW,import,passenger,ice,2017,2017-07-13,ASTON MARTIN,VANQUISH S,A8,2D,5935.0,1899.0,永三汽車,進口小客車車型耗能證明106年7月核發資料.csv
4ddd4db206f2a0b4,TW,import,passenger,ice,2017,2017-10-06,ASTON MARTIN,VANQUISH ZAGATO,A8,2D,5935.0,1926.0,永三汽車,進口小客車車型耗能證明106年10月核發資料.csv
544b2d4e57d5590b,TW,import,passenger,ice,2017,2017-03-27,ASTON MARTIN,VANTAGE GT8,M6,2D,4735.0,1641.0,永三汽車,進口小客車車型耗能證明106年3月核發資料.csv
9699433a6f146ad8,TW,import,passenger,ice,2017,2017-08-03,AUDI,A3 35 TFSI,A7,4D,1498.0,1436.0,奧迪福斯,進口小客車車型耗能證明106年8月核發資料.csv
80921c46229e7b38,TW,import,passenger,ice,2017,2017-07-20,AUDI,A3 35 TFSI HATCHBACK,A7,4D,1498.0,1425.0,奧迪福斯,進口小客車車型耗能證明106年7月核發資料.csv
ffb08950aa16a257,TW,import,passenger,ice,2017,2017-08-03,AUDI,A3 40 TFSI HATCHBACK,A7,4D,1984.0,1488.0,奧迪福斯,進口小客車車型耗能證明106年8月核發資料.csv
7dc48708b463de7a,TW,import,passenger,ice,2017,2017-09-20,AUDI,A4 45 TFSI quattro,A7,4D,1984.0,1701.0,奧迪福斯,進口小客車車型耗能證明106年9月核發資料.csv
46455bcee640d200,TW,import,passenger,ice,2017,2017-08-31,AUDI,A4 45 TFSI quattro,A7,5D,1984.0,1771.0,奧迪福斯,進口小客車車型耗能證明106年8月核發資料.csv
62bdd41ad3bf653a,TW,import,passenger,ice,2017,2017-04-19,AUDI,A5 40 TFSI,A7,2D,1984.0,1572.0,奧迪福斯,進口小客車車型耗能證明106年4月核發資料.csv
d0c2c95c18d5f1ca,TW,import,passenger,ice,2017,2017-04-19,AUDI,A5 40 TFSI,A7,4D,1984.0,1612.0,奧迪福斯,進口小客車車型耗能證明106年4月核發資料.csv
f3f426c0eb52a4f8,TW,import,passenger,ice,2017,2017-05-09,AUDI,A5 45 TFSI quattro,A7,2D,1984.0,1683.0,奧迪福斯,進口小客車車型耗能證明106年5月核發資料.csv
4646af975ed6512f,TW,import,passenger,ice,2017,2017-09-20,AUDI,A5 45 TFSI quattro,A7,2D,1984.0,1693.0,奧迪福斯,進口小客車車型耗能證明106年9月核發資料.csv
9d6c80bf63bc30a7,TW,import,passenger,ice,2017,2017-05-03,AUDI,A5 45 TFSI quattro,A7,4D,1984.0,1725.0,奧迪福斯,進口小客車車型耗能證明106年5月核發資料.csv
ad15b73b9ce0b3b8,TW,import,passenger,ice,2017,2017-09-20,AUDI,A5 45 TFSI quattro,A7,4D,1984.0,1740.0,奧迪福斯,進口小客車車型耗能證明106年9月核發資料.csv
6015e1380b5ea819,TW,import,passenger,ice,2017,2017-08-03,AUDI,Q2 35 TFSI HATCHBACK,A7,4D,1395.0,1422.0,奧迪福斯,進口小客車車型耗能證明106年8月核發資料.csv
1275265fd48a429c,TW,import,passenger,ice,2017,2017-07-04,AUDI,Q5 35 TDI quattro,A7,5D,1968.0,1977.0,奧迪福斯,進口小客車車型耗能證明106年7月核發資料.csv
012c3e6634e994dc,TW,import,passenger,ice,2017,2017-06-26,AUDI,Q5 45 TFSI quattro,A7,5D,1984.0,1913.0,奧迪福斯,進口小客車車型耗能證明106年6月核發資料.csv
86aa6228bd639f6b,TW,import,passenger,ice,2017,2017-12-20,AUDI,S3,A7,4D,1984.0,1630.0,奧迪福斯,進口小客車車型耗能證明106年12月核發資料.csv
7756ea48ef0dd2a3,TW,import,passenger,ice,2017,2017-12-20,AUDI,S3 HATCHBACK,A7,4D,1984.0,1639.0,奧迪福斯,進口小客車車型耗能證明106年12月核發資料.csv
4942ae7004bcc7d1,TW,import,passenger,ice,2017,2017-08-14,AUDI,S5,A8,2D,2995.0,1798.0,奧迪福斯,進口小客車車型耗能證明106年8月核發資料.csv
794bd848f0d1f0b3,TW,import,passenger,ice,2017,2017-06-26,AUDI,S5,A8,4D,2995.0,1819.0,奧迪福斯,進口小客車車型耗能證明106年6月核發資料.csv
7b1319fed539357e,TW,import,passenger,ice,2017,2017-09-14,AUDI,SQ5,A8,5D,2995.0,2024.0,奧迪福斯,進口小客車車型耗能證明106年9月核發資料.csv
520979a17916be7d,TW,import,passenger,ice,2017,2017-01-12,AUDI(註一),A6 35 TDI,A7,5D,1968,1838,奧迪福斯,進口小客車車型耗能證明106年1月核發資料.csv
ccf61d71cf062685,TW,import,passenger,ice,2017,2017-03-16,BENTLEY,CONTINENTAL GT SPEED,A8,2D,5998.0,2449.0,永三汽車,進口小客車車型耗能證明106年3月核發資料.csv
49d84f61304af0bd,TW,import,passenger,ice,2017,2017-07-13,BENTLEY,CONTINENTAL SUPERSPORTS,A8,2D,5998.0,2335.0,永三汽車,進口小客車車型耗能證明106年7月核發資料.csv
513ac7ed65ab0e34,TW,import,passenger,ice,2017,2017-12-20,BENTLEY,CONTINENTAL SUPERSPORTS CONVERTIBLE,A8,2D,5998.0,2595.0,永三汽車,進口小客車車型耗能證明106年12月核發資料.csv
d29c7124e932a217,TW,import,passenger,ice,2017,2017-03-03,BENTLEY,FLYING SPUR V8 S,A8,4D,3993.0,2585.0,永三汽車,進口小客車車型耗能證明106年3月核發資料.csv
51acace525d43dec,TW,import,passenger,ice,2017,2017-04-28,BMW,420I GRAN COUPE (德國),A8,5D,1998.0,1712.0,汎德公司,進口小客車車型耗能證明106年4月核發資料.csv
95019fc69a7ac54b,TW,import,passenger,ice,2017,2017-03-20,BMW,430I GRAN COUPE,A8,4D,1998.0,1754.0,新北市公會,進口小客車車型耗能證明106年3月核發資料.csv
